source,target,label,type,year,frequency,east_west,capacity,distance,edge_type
1946146,194625,128,strassenbahn,1946,30,unkown,195,0.920208878258755,strassenbahn
1946146,194625,41,strassenbahn,1946,15,unkown,195,0.920208878258755,strassenbahn
1946146,194625,141,strassenbahn,1946,15,unkown,195,0.920208878258755,strassenbahn
1946146,1946450,41,strassenbahn,1946,15,unkown,195,0.7802715373571415,strassenbahn
1946146,1946450,141,strassenbahn,1946,15,unkown,195,0.7802715373571415,strassenbahn
194625,194624,28,strassenbahn,1946,30,unkown,195,0.6028504487602169,strassenbahn
194625,194624,128,strassenbahn,1946,30,unkown,195,0.6028504487602169,strassenbahn
194625,194624,41,strassenbahn,1946,15,unkown,195,0.6028504487602169,strassenbahn
194625,194624,141,strassenbahn,1946,15,unkown,195,0.6028504487602169,strassenbahn
1946221,1946275,128,strassenbahn,1946,30,unkown,195,1.7300691082508737,strassenbahn
1946447,1946244,41,strassenbahn,1946,15,unkown,195,0.9977484679068528,strassenbahn
1946244,1946245,41,strassenbahn,1946,15,unkown,195,0.5127693626745522,strassenbahn
1946245,1946446,41,strassenbahn,1946,15,unkown,195,1.638863927653559,strassenbahn
1946446,1946216,41,strassenbahn,1946,15,unkown,195,0.47394021176135304,strassenbahn
1946216,1946340,41,strassenbahn,1946,15,unkown,195,1.3164720422205956,strassenbahn
1946340,1946384,41,strassenbahn,1946,15,unkown,195,0.6583890887145534,strassenbahn
1946384,1946341,141,strassenbahn,1946,15,unkown,195,0.6493052127159704,strassenbahn
1946604,1946282,141,strassenbahn,1946,15,unkown,195,2.7843487288473106,strassenbahn
1946282,1946444,141,strassenbahn,1946,15,unkown,195,0.7840603684577242,strassenbahn
1946444,1946452,141,strassenbahn,1946,15,unkown,195,0.7858669493897877,strassenbahn
1946452,1946341,141,strassenbahn,1946,15,unkown,195,1.3237495230893488,strassenbahn
1946373,1946369,47,strassenbahn,1946,10,unkown,195,0.9707996567400989,strassenbahn
1946369,194690,47,strassenbahn,1946,10,unkown,195,0.201767655406945,strassenbahn
194648,1946488,47,strassenbahn,1946,10,unkown,195,0.5617945882869232,strassenbahn
194648,1946488,49,strassenbahn,1946,15,unkown,195,0.5617945882869232,strassenbahn
1946488,1946490,47,strassenbahn,1946,10,unkown,195,0.4592808513239123,strassenbahn
1946488,1946491,49,strassenbahn,1946,15,unkown,195,0.038225405618650746,strassenbahn
1946490,1946489,47,strassenbahn,1946,10,unkown,195,0.9196397604674248,strassenbahn
1946490,1946489,49,strassenbahn,1946,15,unkown,195,0.9196397604674248,strassenbahn
1946490,1946491,49,strassenbahn,1946,15,unkown,195,0.4594847822790116,strassenbahn
1946489,1946566,47,strassenbahn,1946,10,unkown,195,0.14620427496226507,strassenbahn
1946489,1946566,49,strassenbahn,1946,15,unkown,195,0.14620427496226507,strassenbahn
1946102,1946112,147,strassenbahn,1946,15,unkown,195,1.1289878421480024,strassenbahn
1946112,1946108,147,strassenbahn,1946,15,unkown,195,2.371988529665757,strassenbahn
1946108,1946460,147,strassenbahn,1946,15,unkown,195,2.7739990257457445,strassenbahn
1946460,1946579,147,strassenbahn,1946,15,unkown,195,1.953095116610914,strassenbahn
1946579,1946484,147,strassenbahn,1946,15,unkown,195,1.3524212819222419,strassenbahn
1946514,1946495,54,strassenbahn,1946,15,unkown,195,1.4416670699965697,strassenbahn
1946495,1946496,54,strassenbahn,1946,15,unkown,195,1.4710477464725713,strassenbahn
1946496,1946207,54,strassenbahn,1946,15,unkown,195,0.07430816093127937,strassenbahn
1946207,1946114,54,strassenbahn,1946,15,unkown,195,0.5469169125622194,strassenbahn
1946207,1946364,75,strassenbahn,1946,5,unkown,195,0.5232886846057657,strassenbahn
1946207,1946381,75,strassenbahn,1946,5,unkown,195,0.2977410426098274,strassenbahn
1946114,1946512,54,strassenbahn,1946,15,unkown,195,0.0356867148306972,strassenbahn
1946114,1946515,75,strassenbahn,1946,5,unkown,195,0.0356867148306972,strassenbahn
1946114,1946278,75,strassenbahn,1946,5,unkown,195,1.09310283209229,strassenbahn
1946512,1946193,54,strassenbahn,1946,15,unkown,195,0.6581066865455147,strassenbahn
1946193,1946200,54,strassenbahn,1946,15,unkown,195,0.31282405414460773,strassenbahn
1946200,1946462,54,strassenbahn,1946,15,unkown,195,0.5482259912481331,strassenbahn
1946462,1946121,54,strassenbahn,1946,15,unkown,195,2.029908833514664,strassenbahn
1946121,1946517,54,strassenbahn,1946,15,unkown,195,0.5950886098778223,strassenbahn
1946517,1946516,54,strassenbahn,1946,15,unkown,195,0.4636370522706712,strassenbahn
1946516,1946518,54,strassenbahn,1946,15,unkown,195,2.738806837784963,strassenbahn
1946518,1946453,54,strassenbahn,1946,15,unkown,195,0.7238937408834024,strassenbahn
1946513,1946214,55,strassenbahn,1946,6,unkown,195,2.9909573249805366,strassenbahn
1946214,1946403,55,strassenbahn,1946,6,unkown,195,0.6777531929754337,strassenbahn
1946403,1946372,55,strassenbahn,1946,6,unkown,195,0.09045575174192141,strassenbahn
1946372,1946505,55,strassenbahn,1946,6,unkown,195,0.8530190842706172,strassenbahn
1946505,194665,55,strassenbahn,1946,6,unkown,195,2.6737721475606246,strassenbahn
194665,1946549,55,strassenbahn,1946,6,unkown,195,0.32951252274414655,strassenbahn
1946549,1946387,55,strassenbahn,1946,6,unkown,195,0.4294578226118176,strassenbahn
1946387,1946268,55,strassenbahn,1946,6,unkown,195,1.3948571101474296,strassenbahn
1946191,194685,60,strassenbahn,1946,5,unkown,195,0.5834799472076871,strassenbahn
194685,1946192,60,strassenbahn,1946,5,unkown,195,0.5834799472076871,strassenbahn
1946192,1946363,60,strassenbahn,1946,5,unkown,195,1.4478660995868073,strassenbahn
1946363,1946261,60,strassenbahn,1946,5,unkown,195,0.22150312531930472,strassenbahn
1946261,1946424,60,strassenbahn,1946,5,unkown,195,0.16580108351659226,strassenbahn
1946424,19464,60,strassenbahn,1946,5,unkown,195,0.5716344341854634,strassenbahn
1946424,19464,72,strassenbahn,1946,7,unkown,195,0.5716344341854634,strassenbahn
1946424,19464,73,strassenbahn,1946,15,unkown,195,0.5716344341854634,strassenbahn
1946424,1946421,72,strassenbahn,1946,7,unkown,195,1.5250996796278615,strassenbahn
